R,algorithm,date,iteration,seed,size
10000,RLSSDstar,20211119180210_039,48600,16373413297478810,100
10000,RLSSDstar,20211119180210_336,59590,16373413302250450,100
10000,RLSSDstar,20211119180210_419,50517,16373413303371810,100
10000,RLSSDstar,20211119180210_563,59751,16373413304730380,100
10000,RLSSDstar,20211119180210_634,50148,16373413305638750,100
10000,RLSSDstar,20211119180210_729,49403,16373413306569368,100
10000,RLSSDstar,20211119180210_916,47935,16373413308267140,100
10000,RLSSDstar,20211119180211_187,105284,16373413309958540,100
10000,RLSSDstar,20211119180213_038,48056,16373413329690910,100
10000,RLSSDstar,20211119180213_267,66509,16373413331674140,100
10000,RLSSDstar,20211119180213_359,49376,16373413332686530,100
10000,RLSSDstar,20211119180213_428,47925,16373413333601510,100
10000,RLSSDstar,20211119180213_892,51946,16373413337966180,100
10000,RLSSDstar,20211119180213_978,48265,16373413339086160,100
10000,RLSSDstar,20211119180215_706,48811,16373413356365130,100
10000,RLSSDstar,20211119180218_595,55913,16373413385088110,100
10000,RLSSDstar,20211119180219_144,116544,16373413389343660,100
10000,RLSSDstar,20211119180219_858,48704,16373413397650580,100
10000,RLSSDstar,20211119180220_347,140334,16373413400857800,100
10000,RLSSDstar,20211119180220_451,55045,16373413403479970,100
10000,RLSSDstar,20211119180220_522,48361,16373413404527770,100
10000,RLSSDstar,20211119180220_614,47922,16373413405228820,100
10000,RLSSDstar,20211119180220_73,49063,16373413406616790,100
10000,RLSSDstar,20211119180220_834,56431,16373413407317080,100
10000,RLSSDstar,20211119180220_933,65143,16373413408357962,100
10000,RLSSDstar,20211119180221_173,48620,16373413410851942,100
10000,RLSSDstar,20211119180221_243,48026,16373413411743400,100
10000,RLSSDstar,20211119180221_756,268730,16373413412441980,100
10000,RLSSDstar,20211119180222_437,55968,16373413423363718,100
10000,RLSSDstar,20211119180222_674,48011,16373413426053950,100
10000,RLSSDstar,20211119180222_745,49411,16373413426753920,100
10000,RLSSDstar,20211119180222_834,48261,16373413427460150,100
10000,RLSSDstar,20211119180222_909,50582,16373413428350270,100
10000,RLSSDstar,20211119180227_833,48305,16373413477456650,100
10000,RLSSDstar,20211119180228_05,49617,16373413479601970,100
10000,RLSSDstar,20211119180229_08,60933,16373413489659280,100
10000,RLSSDstar,20211119180229_297,82335,16373413491276240,100
10000,RLSSDstar,20211119180229_53,116904,16373413493041602,100
10000,RLSSDstar,20211119180230_824,47774,16373413507242320,100
10000,RLSSDstar,20211119180230_996,89891,16373413508260860,100
10000,RLSSDstar,20211119180231_209,50006,16373413511164500,100
10000,RLSSDstar,20211119180231_557,53052,16373413514597030,100
10000,RLSSDstar,20211119180231_962,49692,16373413518615128,100
10000,RLSSDstar,20211119180232_049,50795,16373413519640232,100
10000,RLSSDstar,20211119180232_178,62273,16373413520508130,100
10000,RLSSDstar,20211119180232_39,49160,16373413522958900,100
10000,RLSSDstar,20211119180232_537,50238,16373413524490860,100
10000,RLSSDstar,20211119180232_682,53218,16373413525740672,100
10000,RLSSDstar,20211119180232_848,51148,16373413527309030,100
10000,RLSSDstar,20211119180233_956,51536,16373413538669440,100
10000,RLSSDstar,20211119180234_061,51193,16373413539575000,100
10000,RLSSDstar,20211119180234_17,50889,16373413540672800,100
10000,RLSSDstar,20211119180234_261,54130,16373413541716558,100
10000,RLSSDstar,20211119180234_396,48404,16373413542622680,100
10000,RLSSDstar,20211119180234_72,121462,16373413543991042,100
10000,RLSSDstar,20211119180234_798,48020,16373413547242630,100
10000,RLSSDstar,20211119180234_985,49750,16373413549132162,100
10000,RLSSDstar,20211119180235_098,49160,16373413549862380,100
10000,RLSSDstar,20211119180235_518,47852,16373413554203480,100
10000,RLSSDstar,20211119180236_217,48414,16373413561383060,100
10000,RLSSDstar,20211119180236_538,49136,16373413564536240,100
10000,RLSSDstar,20211119180236_638,48153,16373413565564020,100
10000,RLSSDstar,20211119180238_109,56605,16373413579991880,100
10000,RLSSDstar,20211119180238_202,57261,16373413581109570,100
10000,RLSSDstar,20211119180238_385,91728,16373413582037690,100
10000,RLSSDstar,20211119180238_466,48965,16373413583923370,100
10000,RLSSDstar,20211119180238_805,51643,16373413587261720,100
10000,RLSSDstar,20211119180238_88,49305,16373413588067240,100
10000,RLSSDstar,20211119180239_244,48362,16373413591747060,100
10000,RLSSDstar,20211119180239_361,58755,16373413592456240,100
10000,RLSSDstar,20211119180239_476,59314,16373413593686100,100
10000,RLSSDstar,20211119180239_597,57475,16373413594771832,100
10000,RLSSDstar,20211119180239_922,51605,16373413598429720,100
10000,RLSSDstar,20211119180240_803,50340,16373413607232410,100
10000,RLSSDstar,20211119180240_98,63679,16373413608044660,100
10000,RLSSDstar,20211119180241_441,55915,16373413613326818,100
10000,RLSSDstar,20211119180242_765,74990,16373413626374890,100
10000,RLSSDstar,20211119180243_57,49245,16373413634141222,100
10000,RLSSDstar,20211119180243_652,48334,16373413635715320,100
10000,RLSSDstar,20211119180244_016,47915,16373413639186080,100
10000,RLSSDstar,20211119180718_974,71480,16373416388063058,100
10000,RLSSDstar,20211119180719_073,58986,16373416389758770,100
10000,RLSSDstar,20211119180719_206,54180,16373416391031160,100
10000,RLSSDstar,20211119180719_281,49363,16373416392072570,100
10000,RLSSDstar,20211119180720_019,59539,16373416399298770,100
10000,RLSSDstar,20211119180720_113,49254,16373416400204940,100
10000,RLSSDstar,20211119180720_192,51420,16373416401147770,100
10000,RLSSDstar,20211119180745_459,91371,16373416652873180,100
10000,RLSSDstar,20211119180746_124,49763,16373416660211580,100
10000,RLSSDstar,20211119180746_468,107120,16373416662644710,100
10000,RLSSDstar,20211119180746_753,47708,16373416666613810,100
10000,RLSSDstar,20211119180750_752,59688,16373416706627460,100
10000,RLSSDstar,20211119180750_854,50745,16373416707610540,100
10000,RLSSDstar,20211119180750_927,49104,16373416708557230,100
10000,RLSSDstar,20211119180751_106,50552,16373416710328100,100
10000,RLSSDstar,20211119180751_18,48598,16373416711072618,100
10000,RLSSDstar,20211119180751_313,69254,16373416712055150,100
10000,RLSSDstar,20211119180751_434,48838,16373416713411410,100
10000,RLSSDstar,20211119180752_909,52876,16373416728124640,100
10000,RLSSDstar,20211119180754_564,48429,16373416744894410,100
10000,RLSSDstar,20211119180754_802,97229,16373416746329392,100
10000,RLSSDstar,20211119180754_895,48904,16373416748036260,100
10000,RLSSDstar,20211119180755_139,49864,16373416750646378,100
10000,RLSSDstar,20211119180758_82,50570,16373416787283330,100
10000,RLSSDstar,20211119180758_93,71890,16373416788210430,100
10000,RLSSDstar,20211119180759_234,49329,16373416791397460,100
10000,RLSSDstar,20211119180759_6,55248,16373416795021070,100
10000,RLSSDstar,20211119180759_991,66141,16373416798737258,100
10000,RLSSDstar,20211119180800_086,62539,16373416799926860,100
10000,RLSSDstar,20211119180800_244,69012,16373416801218628,100
10000,RLSSDstar,20211119180800_316,48888,16373416802452970,100
10000,RLSSDstar,20211119180801_297,50601,16373416812235410,100
10000,RLSSDstar,20211119180801_831,254607,16373416813454640,100
10000,RLSSDstar,20211119180802_035,49015,16373416819646310,100
10000,RLSSDstar,20211119180802_153,62443,16373416820358150,100
10000,RLSSDstar,20211119180803_315,48068,16373416832296140,100
10000,RLSSDstar,20211119180803_922,152190,16373416836337590,100
10000,RLSSDstar,20211119180803_999,53323,16373416839233410,100
10000,RLSSDstar,20211119180804_1,49092,16373416840008120,100
10000,RLSSDstar,20211119180804_171,48861,16373416841007140,100
10000,RLSSDstar,20211119180805_111,48977,16373416850394002,100
10000,RLSSDstar,20211119180805_214,58519,16373416851120310,100
10000,RLSSDstar,20211119180805_303,49106,16373416852338778,100
10000,RLSSDstar,20211119180805_373,48701,16373416853046620,100
10000,RLSSDstar,20211119180805_476,51298,16373416854017450,100
10000,RLSSDstar,20211119180806_032,60627,16373416859258230,100
10000,RLSSDstar,20211119180807_432,83945,16373416872816050,100
10000,RLSSDstar,20211119180807_546,62223,16373416874336130,100
10000,RLSSDstar,20211119180807_668,55455,16373416875884190,100
10000,RLSSDstar,20211119180807_843,58835,16373416877579880,100
10000,RLSSDstar,20211119180808_589,52004,16373416884961950,100
