R,algorithm,date,iteration,seed,size
121550625,RLSSDstarstar,20211123135936_181,19433,16376723751759378,15
384160000,RLSSDstarstar,20211123140000_843,27207,16376723988340690,40
4032758016,RLSSDstarstar,20211123140103_749,118619,16376724488203462,60
4032758016,RLSSDstarstar,20211123140150_073,214327,16376724817263752,60
3486784401,RLSSDstarstar,20211123140400_372,96696,16376726291586608,60
16777216,RLSSDstarstar,20211123140609_082,5607,16376727688764930,20
4100625,RLSSDstarstar,20211123140609_164,2924,16376727690844130,10
13845841,RLSSDstarstar,20211123140644_736,7367,16376728043945380,20
1303210000,RLSSDstarstar,20211123140716_442,102575,16376728269645620,20
4100625,RLSSDstarstar,20211123140717_248,6480,16376728370486880,10
1303210000,RLSSDstarstar,20211123140743_323,35044,16376728604310200,20
14776336,RLSSDstarstar,20211123140743_535,6499,16376728633242020,20
4100625,RLSSDstarstar,20211123140814_446,3071,16376728943684090,10
492884401,RLSSDstarstar,20211123141032_729,52110,16376730284830670,40
121550625,RLSSDstarstar,20211123141101_51,18557,16376730605571260,15
3429742096,RLSSDstarstar,20211123141446_647,149061,16376732689929610,60
9834496,RLSSDstarstar,20211123141558_993,5760,16376733587992660,20
4100625,RLSSDstarstar,20211123141600_381,5104,16376733602427090,10
623201296,RLSSDstarstar,20211123142057_164,38581,16376736537610640,40
1303210000,RLSSDstarstar,20211123142136_159,27869,16376736937208910,20
4100625,RLSSDstarstar,20211123142211_299,3775,16376737312002612,10
362673936,RLSSDstarstar,20211123142213_384,26050,16376737313195770,40
1303210000,RLSSDstarstar,20211123142436_921,52964,16376738723191710,20
395254161,RLSSDstarstar,20211123143000_039,36948,16376741972143500,40
121550625,RLSSDstarstar,20211123143157_284,24909,16376743159639340,15
121550625,RLSSDstarstar,20211123143204_8,29463,16376743232956590,15
121550625,RLSSDstarstar,20211123143227_585,14853,16376743468478910,15
1303210000,RLSSDstarstar,20211123143539_733,56255,16376745344466100,20
3102044416,RLSSDstarstar,20211123143602_559,187880,16376745397355000,60
9475854336,RLSSDstarstar,20220308095338_534,321962,16467295725010222,48
1049760000,RLSSDstarstar,20220308095416_571,35565,16467296536727520,36
53084160000,RLSSDstarstar,20220308095510_336,252749,16467296615951380,60
49787136,RLSSDstarstar,20220308095533_501,13987,16467297328272160,24
