algorithm,date,iteration,seed,size,temperature
SimulatedAnnealing,20211119172526_639,935252,16373391241956310,100,-1.0
SimulatedAnnealing,20211119172527_842,139841,16373391275738010,60,-1.0
SimulatedAnnealing,20211119172536_083,386515,16373391353368440,60,-1.0
SimulatedAnnealing,20211119172538_089,1043256,16373391360840600,80,-1.0
SimulatedAnnealing,20211119172538_091,738,16373391380906590,100,-1.0
SimulatedAnnealing,20211209101121_259,118940,16390410401674800,500,-1.0
SimulatedAnnealing,20211209101123_762,71046,16390410821275260,300,-1.0
SimulatedAnnealing,20211209101123_775,1653,16390410837649428,100,-1.0
SimulatedAnnealing,20211209101123_841,4967,16390410837761020,300,-1.0
SimulatedAnnealing,20211209101124_233,36200,16390410838444080,500,-1.0
SimulatedAnnealing,20211209101124_261,3519,16390410842343530,500,-1.0
SimulatedAnnealing,20211209101124_358,9313,16390410842631150,500,-1.0
SimulatedAnnealing,20211209101124_418,4170,16390410843615070,200,-1.0
SimulatedAnnealing,20211209101124_462,2704,16390410844197710,200,-1.0
SimulatedAnnealing,20211209101137_569,825770,16390410844668600,400,-1.0
SimulatedAnnealing,20211209101333_321,8957123,16390410975727078,500,-1.0
SimulatedAnnealing,20211209101334_39,1919,16390412143651510,200,-1.0
SimulatedAnnealing,20211209101334_453,2849,16390412144152810,300,-1.0
SimulatedAnnealing,20211209101334_741,12260,16390412144769868,300,-1.0
SimulatedAnnealing,20211209101335_717,13464,16390412147522220,300,-1.0
SimulatedAnnealing,20211209101404_713,2764128,16390412166195230,400,-1.0
SimulatedAnnealing,20211209101404_899,71868,16390412447666850,500,-1.0
SimulatedAnnealing,20211209101404_917,8895,16390412449009320,500,-1.0
SimulatedAnnealing,20211209101404_939,8705,16390412449187260,300,-1.0
SimulatedAnnealing,20211209101404_976,2104,16390412449700120,200,-1.0
SimulatedAnnealing,20211209101405_01,3057,16390412449776240,200,-1.0
SimulatedAnnealing,20211209101405_016,3049,16390412450110860,400,-1.0
