algorithm,date,iteration,seed,size
ea1p1,20211119174104_623,1209720,16373400624207890,100
ea1p1,20211119174106_911,1571083,16373400647321960,100
ea1p1,20211119174107_862,711473,16373400669196090,100
ea1p1,20211119174855_566,791206,16373405345518898,100
ea1p1,20211119174856_226,18131,16373405362038300,100
ea1p1,20211119174856_229,1859,16373405362271270,100
ea1p1,20211119174856_265,31400,16373405362299250,100
ea1p1,20211119174856_286,18517,16373405362658740,100
ea1p1,20211119174856_327,20931,16373405362874178,100
ea1p1,20211119174856_344,13752,16373405363284100,100
ea1p1,20211119174856_526,153569,16373405363452770,100
ea1p1,20211119174856_711,147534,16373405365268732,100
ea1p1,20211119174856_837,107621,16373405367125340,100
ea1p1,20211119174857_037,172805,16373405368387280,100
ea1p1,20211119174857_042,3647,16373405370382882,100
ea1p1,20211119174858_868,1529783,16373405370429860,100
ea1p1,20211119174858_87,1430,16373405388693370,100
ea1p1,20211119174858_965,74731,16373405388717042,100
ea1p1,20211119174858_974,7548,16373405389661310,100
ea1p1,20211119174859_21,198991,16373405389752590,100
ea1p1,20211119174859_403,161291,16373405392111880,100
ea1p1,20211119174859_419,13788,16373405394046530,100
ea1p1,20211119174859_449,27087,16373405394201378,100
ea1p1,20211119174859_607,124744,16373405394620490,100
ea1p1,20211119174859_64,27195,16373405396079700,100
ea1p1,20211119174900_607,849807,16373405396413100,100
ea1p1,20211119174900_61,1785,16373405406079360,100
ea1p1,20211119174900_687,57774,16373405406220282,100
ea1p1,20211119174900_918,199619,16373405406883130,100
ea1p1,20211119174901_013,76907,16373405409193800,100
ea1p1,20211119174901_28,230641,16373405410145208,100
ea1p1,20211119174901_286,4548,16373405412808462,100
ea1p1,20211119174901_441,132419,16373405412869840,100
ea1p1,20211119174901_442,556,16373405414418390,100
ea1p1,20211119174901_476,28409,16373405414432900,100
ea1p1,20211119174901_479,1784,16373405414772388,100
ea1p1,20211119174901_558,62056,16373405414799420,100
ea1p1,20211119174902_349,695732,16373405415594030,100
ea1p1,20211119174902_354,4200,16373405423500300,100
ea1p1,20211119174902_744,338958,16373405423555040,100
ea1p1,20211119174904_03,1131766,16373405427458310,100
ea1p1,20211119174904_19,127257,16373405440312170,100
ea1p1,20211119174904_224,26736,16373405441915060,100
ea1p1,20211119174904_254,25845,16373405442256870,100
ea1p1,20211119174905_231,852391,16373405442554910,100
ea1p1,20211119174905_419,165465,16373405452321300,100
ea1p1,20211119174905_443,19920,16373405454204170,100
