R,algorithm,date,iteration,seed,size
6400,ea1p1SD,20211123131035_788,27858,16376694357140688,80
6400,ea1p1SD,20211123131036_773,45582,16376694366744640,80
6400,ea1p1SD,20211123131040_875,404534,16376694399653330,80
6400,ea1p1SD,20211123131042_803,193193,16376694423883290,80
6400,ea1p1SD,20211123131050_079,132852,16376694498249680,80
6400,ea1p1SD,20211123131056_083,100576,16376694558701640,80
6400,ea1p1SD,20211123131056_087,1612,16376694560844980,80
6400,ea1p1SD,20211123131103_36,164614,16376694629988040,80
6400,ea1p1SD,20211123131110_314,167657,16376694699956328,80
6400,ea1p1SD,20211123131118_812,377003,16376694778569860,80
6400,ea1p1SD,20211123131121_958,640010,16376694804359022,80
6400,ea1p1SD,20211123131122_998,22753,16376694829574550,80
6400,ea1p1SD,20211123131123_596,206201,16376694831631160,80
6400,ea1p1SD,20211123131124_201,151652,16376694838741970,80
6400,ea1p1SD,20211123131124_249,22756,16376694842021028,80
6400,ea1p1SD,20211123131124_302,24805,16376694842505990,80
6400,ea1p1SD,20211123131127_166,45734,16376694870816792,80
6400,ea1p1SD,20211123131128_832,128495,16376694885602550,80
6400,ea1p1SD,20211123131130_171,551756,16376694888345662,80
6400,ea1p1SD,20211123131130_95,17230,16376694909191780,80
6400,ea1p1SD,20211123131131_181,102695,16376694909509280,80
6400,ea1p1SD,20211123131131_597,185566,16376694911823800,80
6400,ea1p1SD,20211123131137_713,12166,16376694976880990,80
6400,ea1p1SD,20211123131139_316,359814,16376694985132020,80
6400,ea1p1SD,20211123131144_507,38379,16376695044307510,80
6400,ea1p1SD,20211123131146_924,9997,16376695069037450,80
6400,ea1p1SD,20211123131208_714,103698,16376695284993780,80
6400,ea1p1SD,20211123131211_077,215282,16376695306315580,80
6400,ea1p1SD,20211123131222_258,635341,16376695408205290,80
6400,ea1p1SD,20211123131225_27,16902,16376695452393530,80
6400,ea1p1SD,20211123131228_604,428979,16376695475619190,80
6400,ea1p1SD,20211123131232_195,58420,16376695520656510,80
6400,ea1p1SD,20211123131233_002,84098,16376695528135050,80
6400,ea1p1SD,20211123131237_113,53523,16376695570005940,80
6400,ea1p1SD,20211123131257_973,8315,16376695779567780,80
6400,ea1p1SD,20211123131257_982,4588,16376695779741340,80
6400,ea1p1SD,20211123131746_863,16462,16376698668271210,80
6400,ea1p1SD,20211123131752_045,34413,16376698719864920,80
6400,ea1p1SD,20211123131752_813,168709,16376698724958178,80
6400,ea1p1SD,20211123131754_185,650221,16376698728148920,80
6400,ea1p1SD,20211123131811_712,298040,16376698910333260,80
6400,ea1p1SD,20211123131814_473,133861,16376698941564190,80
6400,ea1p1SD,20211123131815_126,276150,16376698944787570,80
6400,ea1p1SD,20211123131830_137,81349,16376699099783780,80
6400,ea1p1SD,20211123131838_009,20165,16376699179716720,80
6400,ea1p1SD,20211123131841_198,32754,16376699211404728,80
6400,ea1p1SD,20211123131850_521,1824849,16376699264400610,80
6400,ea1p1SD,20211123131851_698,38219,16376699316120998,80
6400,ea1p1SD,20211123131852_318,13410,16376699322954950,80
6400,ea1p1SD,20211123131855_575,8185,16376699355542310,80
6400,ea1p1SD,20211123131907_349,46454,16376699472532520,80
6400,ea1p1SD,20211123131917_448,45191,16376699573432050,80
6400,ea1p1SD,20211123131920_593,186265,16376699602201360,80
6400,ea1p1SD,20211123131925_024,3818,16376699650186998,80
6400,ea1p1SD,20211123131925_079,29342,16376699650251410,80
6400,ea1p1SD,20211123131929_266,247617,16376699687815190,80
6400,ea1p1SD,20211123131929_33,25975,16376699692673180,80
6400,ea1p1SD,20211123131932_278,11057,16376699722584478,80
6400,ea1p1SD,20211123131933_176,262729,16376699726221270,80
6400,ea1p1SD,20211123131934_055,26673,16376699740066180,80
6400,ea1p1SD,20211123131934_378,167093,16376699740567260,80
6400,ea1p1SD,20211123131934_454,40987,16376699743798090,80
6400,ea1p1SD,20211123131936_281,44791,16376699762005510,80
6400,ea1p1SD,20211123131937_37,11764,16376699773509660,80
6400,ea1p1SD,20211123131937_546,88080,16376699773717170,80
6400,ea1p1SD,20211123131939_377,123463,16376699791457310,80
6400,ea1p1SD,20211123131940_837,36344,16376699807398920,80
6400,ea1p1SD,20211123131943_177,16521,16376699831329260,80
6400,ea1p1SD,20211123131943_538,133105,16376699832751220,80
6400,ea1p1SD,20211123131946_742,45122,16376699866597150,80
6400,ea1p1SD,20211123131949_169,28760,16376699891180610,80
6400,ea1p1SD,20211123131950_266,2615,16376699902630100,80
6400,ea1p1SD,20211123132457_355,371972,16376702964282220,80
6400,ea1p1SD,20211123132458_414,450903,16376702973570940,80
6400,ea1p1SD,20211123132511_723,5346789,16376702984267048,80
6400,ea1p1SD,20211123132516_492,614313,16376703149201460,80
6400,ea1p1SD,20211123132521_037,255359,16376703202518402,80
6400,ea1p1SD,20211123132526_001,1445796,16376703219454160,80
6400,ea1p1SD,20211123132530_154,823863,16376703283115120,80
6400,ea1p1SD,20211123132553_219,2721289,16376703464036692,80
6400,ea1p1SD,20211123132606_96,3792779,16376703567414442,80
6400,ea1p1SD,20211123132653_111,391965,16376704122351230,80
6400,ea1p1SD,20211123132656_141,628350,16376704146351100,80
6400,ea1p1SD,20211123132707_498,2062812,16376704220563350,80
6400,ea1p1SD,20211123132711_729,138413,16376704314550550,80
6400,ea1p1SD,20211123132833_601,62555,16376705134844610,80
6400,ea1p1SD,20211123132842_968,2102544,16376705180350708,80
6400,ea1p1SD,20211123132852_218,3945294,16376705229697558,80
6400,ea1p1SD,20211123132852_257,20183,16376705322191720,80
6400,ea1p1SD,20211123132858_807,100821,16376705385873858,80
6400,ea1p1SD,20211123132927_002,9651580,16376705407585080,80
6400,ea1p1SD,20211123132958_14,9357096,16376705745563660,80
6400,ea1p1SD,20211123132958_186,20676,16376705981414722,80
6400,ea1p1SD,20211123133030_738,6785,16376706307260270,80
6400,ea1p1SD,20211123133031_133,189326,16376706307398860,80
6400,ea1p1SD,20211123133115_7,43821,16376706756184380,80
6400,ea1p1SD,20211123133126_048,65626,16376706858877680,80
6400,ea1p1SD,20211123133126_42,34970,16376706863533600,80
6400,ea1p1SD,20211123133513_897,63141,16376709136840702,80
6400,ea1p1SD,20211123133526_954,418396,16376709260067420,80
2025,ea1p1SD,20211123140009_887,16916,16376724095503982,10
19600,ea1p1SD,20211123140047_367,296580,16376724284307900,40
11025,ea1p1SD,20211123140048_819,38172,16376724473697340,15
3844,ea1p1SD,20211123140541_824,23503,16376727411386340,20
11025,ea1p1SD,20211123140630_097,55402,16376727877507500,15
19881,ea1p1SD,20211123141057_886,290115,16376730413522350,40
58564,ea1p1SD,20211123141148_274,322597,16376730796993660,60
3136,ea1p1SD,20211123141148_478,8577,16376731082754750,20
22201,ea1p1SD,20211123141231_893,199332,16376731405511020,40
63504,ea1p1SD,20211123141533_492,495093,16376732889213120,60
4096,ea1p1SD,20211123141600_241,42438,16376733589954268,20
2025,ea1p1SD,20211123141600_511,5957,16376733603824320,10
11025,ea1p1SD,20211123141601_947,36070,16376733605124380,15
3721,ea1p1SD,20211123142018_452,31359,16376736176198680,20
55696,ea1p1SD,20211123142258_734,345701,16376737482776690,60
63504,ea1p1SD,20211123142351_969,545467,16376737803703650,60
11025,ea1p1SD,20211123142354_21,60745,16376738319860230,15
2025,ea1p1SD,20211123142438_254,8034,16376738780980520,10
36100,ea1p1SD,20211123142947_292,228009,16376741717309402,20
4096,ea1p1SD,20211123142957_213,17146,16376741967730588,20
36100,ea1p1SD,20211123143218_493,84696,16376743331903360,20
36100,ea1p1SD,20211123143433_483,178229,16376744617777310,20
19044,ea1p1SD,20211123143441_1,148263,16376744737597270,40
59049,ea1p1SD,20211123143512_732,273574,16376744888680680,60
24964,ea1p1SD,20211123143524_883,192495,16376745127341130,40
36100,ea1p1SD,20211123143530_163,85437,16376745248847970,20
2025,ea1p1SD,20211123143533_957,8049,16376745337940660,10
36100,ea1p1SD,20211123143708_729,247021,16376746092712760,20
10000,ea1p1SD,20211210161818_595,2652788,16391494905660580,100
10000,ea1p1SD,20211210161831_047,10715,16391495110250450,100
10000,ea1p1SD,20211210163204_004,6508,16391503239851820,100
14400,ea1p1SD,20211210163204_598,3064,16391503245942150,120
10000,ea1p1SD,20211210163347_516,3507,16391504275099880,100
14400,ea1p1SD,20211210163348_022,4476,16391504280107650,120
14400,ea1p1SD,20211210163348_069,2636,16391504280633162,120
10000,ea1p1SD,20211210163348_391,5512,16391504283819360,100
14400,ea1p1SD,20211210163348_407,9087,16391504283917220,120
10000,ea1p1SD,20211210163348_767,4194,16391504287591432,100
10000,ea1p1SD,20211210163349_071,7805,16391504290576920,100
14400,ea1p1SD,20211210163349_116,21923,16391504290726150,120
10000,ea1p1SD,20211210163349_267,10747,16391504292468490,100
