R,algorithm,date,iteration,seed,size,β,γ
20,fastSD,20211123100549_079,436,16376583490322530,100,1.5,0.1
20,fastSD,20211123100631_746,514,16376583916197820,100,1.5,0.1
20,fastSD,20211123100659_024,8629,16376584174599860,1000,1.5,0.1
5,fastSD,20211123100831_18,14769,16376585087765980,100,1.5,0.1
5,fastSD,20211123100850_38,91204,16376585128262730,100,1.5,0.1
5,fastSD,20211123100913_712,10304,16376585536948400,100,1.5,0.1
5,fastSD,20211123100914_077,22030,16376585540225690,100,1.5,0.1
5,fastSD,20211123100914_125,11522,16376585541042860,100,1.5,0.1
5,fastSD,20211123100914_559,9824,16376585545441920,100,1.5,0.1
5,fastSD,20211123100914_65,11443,16376585546182900,100,1.5,0.1
5,fastSD,20211123100914_68,16041,16376585546511150,100,1.5,0.1
5,fastSD,20211123100915_734,25879,16376585556838780,100,1.5,0.1
5,fastSD,20211123100916_379,29456,16376585563221810,100,1.5,0.1
5,fastSD,20211123100916_491,14818,16376585564665570,100,1.5,0.1
5,fastSD,20211123100916_549,23635,16376585564925590,100,1.5,0.1
5,fastSD,20211123100916_753,18729,16376585567201728,100,1.5,0.1
5,fastSD,20211123100920_807,9913,16376585607903070,100,1.5,0.1
5,fastSD,20211123100921_309,9569,16376585612928020,100,1.5,0.1
5,fastSD,20211123100921_754,11378,16376585617355918,100,1.5,0.1
5,fastSD,20211123100922_412,5737,16376585623875020,100,1.5,0.1
5,fastSD,20211123100922_612,62336,16376585624860188,100,1.5,0.1
5,fastSD,20211123100922_806,14329,16376585627673680,100,1.5,0.1
5,fastSD,20211123100922_834,15224,16376585628074190,100,1.5,0.1
5,fastSD,20211123100922_874,21790,16376585628353160,100,1.5,0.1
5,fastSD,20211123100923_775,17790,16376585637442638,100,1.5,0.1
5,fastSD,20211123100923_805,15887,16376585637763400,100,1.5,0.1
5,fastSD,20211123100924_527,10906,16376585645084060,100,1.5,0.1
5,fastSD,20211123100924_546,11072,16376585645285210,100,1.5,0.1
5,fastSD,20211123100925_731,15996,16376585656924730,100,1.5,0.1
5,fastSD,20211123100927_262,9489,16376585672459380,100,1.5,0.1
5,fastSD,20211123100928_15,9621,16376585681324890,100,1.5,0.1
5,fastSD,20211123100928_185,12176,16376585681508580,100,1.5,0.1
5,fastSD,20211123100928_204,10466,16376585681867270,100,1.5,0.1
5,fastSD,20211123100928_23,14000,16376585682053608,100,1.5,0.1
5,fastSD,20211123100928_25,11023,16376585682310938,100,1.5,0.1
5,fastSD,20211123100928_586,10896,16376585685677710,100,1.5,0.1
5,fastSD,20211123100933_174,22358,16376585730903050,100,1.5,0.1
5,fastSD,20211123100933_528,10774,16376585735052720,100,1.5,0.1
5,fastSD,20211123100933_569,11450,16376585735291860,100,1.5,0.1
